AdmArea,District,EDU_NAME,OGE_SCORE,YEAR,global_id
Северный административный округ,Головинский район,Государственное автономное профессиональное образовательное учреждение города Москвы «Колледж предпринимательства № 11»,4,2016-2017,797369596
Северный административный округ,район Коптево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1576»,230,2016-2017,797369639
Северный административный округ,район Коптево,"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 185 имени Героя Советского Союза, Героя Социалистического Труда В.С. Гризодубовой»",52,2016-2017,797369720
Северный административный округ,Савёловский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1164»,62,2016-2017,797369773
Восточный административный округ,район Богородское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 362»,17,2016-2017,797369831
Восточный административный округ,район Вешняки,Автономная некоммерческая организация общеобразовательная организация школа «Ирида»,2,2016-2017,797369880
Восточный административный округ,район Восточный,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1021»,34,2016-2017,797369929
Восточный административный округ,район Измайлово,"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики, информатики, физики № 444»",102,2016-2017,797371578
Восточный административный округ,район Косино-Ухтомский,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1602»,36,2016-2017,797371641
Восточный административный округ,район Косино-Ухтомский,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2036»,160,2016-2017,797371702
Восточный административный округ,район Новогиреево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1798 «Феникс»,65,2016-2017,797371762
Восточный административный округ,район Новокосино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1591»,108,2016-2017,797371825
Восточный административный округ,район Перово,Государственное бюджетное общеобразовательное учреждение города Москвы «Московская международная школа»,100,2016-2017,797371892
Восточный административный округ,район Перово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1637»,68,2016-2017,797371943
Восточный административный округ,район Перово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 920»,59,2016-2017,797372009
Восточный административный округ,район Северное Измайлово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2200»,86,2016-2017,797372075
Восточный административный округ,район Соколиная Гора,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1301 имени Е.Т. Гайдара»,40,2016-2017,797372129
Восточный административный округ,район Соколиная Гора,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 429 «Соколиная гора»,107,2016-2017,797372217
Восточный административный округ,район Сокольники,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1404 «Гамма»,70,2016-2017,797372265
Восточный административный округ,район Сокольники,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1282»,91,2016-2017,797372313
Западный административный округ,район Дорогомилово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 67»,135,2016-2017,797372374
Западный административный округ,район Дорогомилово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1465 имени адмирала Н.Г. Кузнецова»,29,2016-2017,797372438
Западный административный округ,район Крылатское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1133»,45,2016-2017,797372512
