ID,EDU_NAME,global_id,YEAR,AdmArea,District,PASSES_OVER_220,PASSER_UNDER_160
12970,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1381»,2603023628,2022-2023,Северо-Восточный административный округ,Лосиноостровский район,22,65
12971,Негосударственное общеобразовательное частное учреждение «Православная школа имени преподбного Сергия Радонежского в Усадьбе Свиблово»,2603023629,2022-2023,Северо-Восточный административный округ,район Свиблово,0,1
12972,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1522 имени В.И. Чуркина»,2603023631,2022-2023,Северо-Западный административный округ,район Хорошёво-Мнёвники,34,54
12973,Муниципальное автономное общеобразовательное учреждение «Гимназия г. Троицка»,2603023632,2022-2023,Троицкий административный округ,поселение Троицк,31,83
12974,Общеобразовательная организация частное учреждение «Московский лицей «Ступени»,2603023633,2022-2023,Центральный административный округ,Красносельский район,42,82
12975,Государственное бюджетное общеобразовательное учреждение города Москвы «Романовская школа»,2603023634,2022-2023,Центральный административный округ,Пресненский район,61,115
12976,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 123»,2603023635,2022-2023,Центральный административный округ,Пресненский район,14,31
12977,Общеобразовательная автономная некоммерческая организация средняя общеобразовательная школа «Виктория-2000»,2603023636,2022-2023,Центральный административный округ,район Хамовники,2,5
12978,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 491 «Марьино»,2603023637,2022-2023,Юго-Восточный административный округ,район Марьино,26,62
12979,Общеобразовательное частное учреждение «Школа «Новое образование»,2603023638,2022-2023,Юго-Восточный административный округ,Нижегородский район,2,6
12980,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 777 имени Героя Советского Союза Е.В. Михайлова»,2603023640,2022-2023,Юго-Восточный административный округ,Рязанский район,32,89
12981,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1273»,2603023641,2022-2023,Юго-Западный административный округ,район Коньково,36,82
12982,Общеобразовательная автономная некоммерческая организация средняя общеобразовательная школа «Москвич»,2603023642,2022-2023,Юго-Западный административный округ,Ломоносовский район,10,11
12983,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 46»,2603023643,2022-2023,Юго-Западный административный округ,Обручевский район,24,39
12984,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1694 «Ясенево» имени П.М. Фитина»,2603023644,2022-2023,Юго-Западный административный округ,район Ясенево,12,34
12985,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 996»,2603023645,2022-2023,Южный административный округ,район Орехово-Борисово Северное,7,16
12986,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1245»,2603023646,2022-2023,Южный административный округ,район Чертаново Южное,32,82
12987,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1290»,2603023647,2022-2023,Восточный административный округ,район Восточное Измайлово,64,106
12988,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1795 «Лосиноостровская»,2603023648,2022-2023,Восточный административный округ,район Метрогородок,20,49
12989,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1310»,2603023650,2022-2023,Восточный административный округ,район Новогиреево,13,39
12990,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1371 «Крылатское»,2603023651,2022-2023,Западный административный округ,район Крылатское,37,82
12991,Частное учреждение средняя общеобразовательная школа «А-Статус»,2603023652,2022-2023,Западный административный округ,Можайский район,2,2
12992,Государственное бюджетное общеобразовательное учреждение города Москвы «Центр образования и спорта» Москва-98»Департамента спорта города Москвы,2603023653,2022-2023,Западный административный округ,район Проспект Вернадского,62,138
12993,Негосударственное образовательное учреждение частная средняя общеобразовательная школа «Ромашка»,2603023654,2022-2023,Западный административный округ,район Раменки,0,2
12994,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Тропарево»,2603023655,2022-2023,Западный административный округ,район Тропарёво-Никулино,27,54
12995,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1317»,2603023656,2022-2023,Западный административный округ,район Тропарёво-Никулино,49,64
12996,Федеральное государственное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 1699» Управления делами Президента Российской Федерации,2603023657,2022-2023,Западный административный округ,район Фили-Давыдково,12,25
12997,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1570»,2603023659,2022-2023,Северный административный округ,район Беговой,17,57
12998,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1296»,2603023660,2022-2023,Северный административный округ,район Восточное Дегунино,45,74
12999,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1315»,2603023661,2022-2023,Северный административный округ,Головинский район,36,76
13000,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 236 имени Героя Советского Союза Г. И. Щедрина»,2603023662,2022-2023,Северный административный округ,Дмитровский район,37,66
13001,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 950»,2603023663,2022-2023,Северо-Восточный административный округ,район Отрадное,33,77
13002,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1515»,2603023664,2022-2023,Северо-Западный административный округ,район Хорошёво-Мнёвники,18,49
